City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,porto novo,6.5,2.6,82.4,83,20,9.17,BJ,1606686843
235,seydi,39.48,62.91,32.27,81,100,15.77,TM,1606686843
236,danjiangkou,32.54,111.51,40.53,76,14,3.47,CN,1606686664
237,hambantota,6.12,81.12,77.0,94,0,8.05,LK,1606686843
238,rosa zarate,0.33,-79.47,77.83,75,97,3.65,EC,1606686843
239,dukat,62.55,155.55,-8.66,82,30,2.3,RU,1606686843
240,puerto quijarro,-17.78,-57.77,93.94,29,85,1.3,BO,1606686843
241,nan,18.83,100.67,62.67,91,2,2.01,TH,1606686844
242,alice springs,-23.7,133.88,87.01,26,6,9.17,AU,1606686844
243,bokod,47.49,18.25,37.4,97,90,10.29,HU,1606686844
244,bereda,43.27,-7.54,48.0,100,100,3.0,ES,1606686844
245,rognan,67.1,15.39,44.6,86,75,13.87,NO,1606686844
246,waipawa,-41.41,175.52,59.0,87,100,20.8,NZ,1606686844
247,uptar,59.75,150.92,3.87,94,100,5.99,RU,1606686844
248,zarubino,42.63,131.09,23.59,85,0,17.9,RU,1606686844
249,mount isa,-20.73,139.5,87.8,45,0,2.24,AU,1606686845
250,saskylakh,71.92,114.08,13.1,93,97,16.98,RU,1606686845
251,banyo,6.75,11.82,68.31,41,12,2.91,CM,1606686845
252,banda aceh,5.56,95.32,78.44,78,100,3.51,ID,1606686845
253,sungaipenuh,-2.08,101.38,62.94,89,48,1.54,ID,1606686845
254,zacualpan,21.25,-105.17,82.4,42,5,6.93,MX,1606686845
255,iberia,29.95,-91.75,60.8,87,90,19.46,US,1606686845
256,ngunguru,-35.62,174.5,69.01,84,100,11.99,NZ,1606686846
257,piopio,-38.47,175.02,60.01,89,100,3.0,NZ,1606686846
258,balkhash,46.84,74.98,4.5,90,8,6.53,KZ,1606686846
259,lokosovo,61.13,74.82,1.67,93,50,7.09,RU,1606686846
260,san ignacio,17.16,-89.07,89.6,59,20,4.83,BZ,1606686846
261,port elizabeth,-33.92,25.57,59.0,87,0,3.36,ZA,1606686846
262,touros,-5.2,-35.46,80.6,74,40,12.75,BR,1606686846
263,cidreira,-30.18,-50.21,77.11,81,0,5.95,BR,1606686847
264,faya,18.39,42.45,59.0,76,0,1.21,SA,1606686847
265,praia da vitoria,38.73,-27.07,60.01,71,75,27.49,PT,1606686847
266,sakaiminato,35.55,133.23,48.2,70,75,12.75,JP,1606686847
267,ukiah,39.15,-123.21,64.99,31,1,3.36,US,1606686847
268,la paz,-16.5,-68.15,60.8,49,40,9.17,BO,1606686757
269,taoudenni,22.68,-3.98,69.15,24,100,5.93,ML,1606686847
270,gunjur,13.2,-16.73,75.2,83,0,13.51,GM,1606686848
271,ternate,0.8,127.4,79.59,80,99,5.32,ID,1606686848
272,samana,19.21,-69.34,87.8,70,20,7.78,DO,1606686848
273,shaping,22.75,112.96,57.0,74,100,3.0,CN,1606686848
274,ravar,31.27,56.81,59.02,34,100,3.36,IR,1606686848
275,ivanava,52.15,25.54,30.2,99,100,6.93,BY,1606686848
276,gravdal,68.12,13.5,44.6,81,75,27.51,NO,1606686848
277,pisco,-13.7,-76.22,68.0,82,0,23.04,PE,1606686848
278,cherskiy,68.75,161.3,-9.42,90,100,3.0,RU,1606686848
279,mumford,5.26,-0.76,79.72,85,11,8.55,GH,1606686849
280,shubarshi,48.59,57.19,12.81,93,0,7.56,KZ,1606686849
281,sungurlu,40.17,34.37,38.98,64,94,0.76,TR,1606686557
282,husavik,66.04,-17.34,30.2,86,75,2.91,IS,1606686849
283,kyaikkami,16.08,97.57,76.3,76,7,6.46,MM,1606686849
284,xian,34.26,108.93,39.99,76,78,6.71,CN,1606686849
285,yeniseysk,58.45,92.17,1.99,91,37,0.45,RU,1606686849
286,santa rosa,14.31,121.11,75.2,94,40,1.12,PH,1606686850
287,killybegs,54.63,-8.45,47.82,86,100,11.1,IE,1606686850
288,camacha,33.08,-16.33,59.0,72,75,21.92,PT,1606686850
289,kaputa,-8.47,29.66,68.85,84,99,5.95,ZM,1606686850
290,claresholm,50.03,-113.59,44.6,20,73,8.05,CA,1606686850
291,dagana,16.52,-15.51,80.6,47,0,11.9,MR,1606686850
292,caranavi,-15.82,-67.55,72.09,89,100,1.61,BO,1606686850
293,xuddur,4.12,43.89,76.55,54,0,8.14,SO,1606686850
294,vao,-22.67,167.48,73.44,61,0,9.78,NC,1606686850
295,kaitangata,-46.28,169.85,55.99,92,100,3.0,NZ,1606686851
296,nara,34.69,135.8,43.0,93,20,4.7,JP,1606686851
297,rio grande,-32.03,-52.1,84.2,54,20,6.93,BR,1606686851
298,smithers,54.78,-127.17,33.8,69,75,8.05,CA,1606686851
299,itarema,-2.92,-39.92,80.4,76,68,16.49,BR,1606686852
300,esterhazy,50.65,-102.08,24.8,68,0,9.17,CA,1606686852
301,denpasar,-8.65,115.22,77.0,94,75,3.36,ID,1606686688
302,pangnirtung,66.15,-65.71,8.6,84,90,5.82,CA,1606686852
303,bustamante,26.53,-100.5,70.93,35,26,7.58,MX,1606686852
304,san antero,9.37,-75.76,80.47,85,45,8.57,CO,1606686852
305,dezhou,37.45,116.29,29.17,84,0,4.99,CN,1606686852
306,zhovti vody,48.35,33.5,37.4,86,90,4.47,UA,1606686852
307,saldanha,-33.01,17.94,59.0,77,0,9.17,ZA,1606686853
308,werda,-25.27,23.28,80.02,40,74,6.93,BW,1606686853
309,ucluelet,48.93,-125.55,46.0,100,90,5.82,CA,1606686853
310,castro,-24.79,-50.01,68.63,87,100,5.91,BR,1606686853
311,upata,8.01,-62.4,84.99,72,50,3.0,VE,1606686853
312,havelock,34.88,-76.9,63.0,72,75,9.17,US,1606686635
313,florida,28.75,-82.5,78.8,65,1,4.7,US,1606686575
314,la ronge,55.1,-105.28,30.2,54,46,3.36,CA,1606686853
315,manaure,11.78,-72.44,83.48,76,94,16.6,CO,1606686854
316,lucapa,-8.42,20.74,65.41,97,97,2.53,AO,1606686854
317,nabire,-3.37,135.48,78.39,85,100,2.93,ID,1606686854
318,kalmunai,7.42,81.82,77.92,86,97,5.35,LK,1606686854
319,high rock,26.62,-78.28,78.8,65,75,6.93,BS,1606686854
320,umm lajj,25.02,37.27,72.45,50,0,13.02,SA,1606686854
321,celestun,20.87,-90.4,79.86,76,14,12.41,MX,1606686854
322,komsomolskiy,40.43,71.72,30.2,80,0,4.7,UZ,1606686854
323,washington,47.5,-120.5,39.99,74,74,4.07,US,1606686806
324,vung tau,10.35,107.08,76.93,85,100,8.75,VN,1606686855
325,bulawayo,-20.15,28.58,67.84,82,55,3.91,ZW,1606686855
326,havre,49.58,0.33,37.4,100,90,4.7,FR,1606686855
327,farad,47.61,17.2,37.4,74,75,6.93,HU,1606686855
328,yushan,31.38,120.95,50.0,75,0,6.71,CN,1606686855
329,ambilobe,-13.2,49.05,74.73,84,41,2.8,MG,1606686855
330,liuzhou,24.31,109.39,48.07,71,0,9.64,CN,1606686856
331,moba,33.23,105.02,29.07,99,100,2.71,CN,1606686856
332,tiarei,-17.53,-149.33,86.0,70,20,14.99,PF,1606686856
333,baie-comeau,49.22,-68.15,30.2,80,20,5.82,CA,1606686856
334,port-cartier,50.03,-66.87,30.2,68,20,12.75,CA,1606686856
335,san quintin,30.48,-115.95,68.61,35,0,9.06,MX,1606686856
336,camalu,30.85,-116.07,75.0,9,0,5.01,MX,1606686856
337,luanda,-8.84,13.23,80.6,83,40,8.05,AO,1606686856
338,upington,-28.45,21.26,77.0,15,0,4.7,ZA,1606686761
339,puerto narino,-3.77,-70.38,80.6,88,75,5.82,CO,1606686857
340,souillac,-20.52,57.52,75.2,88,75,6.93,MU,1606686857
341,mahebourg,-20.41,57.7,75.2,88,75,6.93,MU,1606686857
