Country,City,Latitude,Longitude
cz,pruhonice,50.001471,14.559534
pl,bystrzyca klodzka,50.298252000000005,16.653029
nl,bergen,51.600383,6.034003
mx,zimatlan,16.866667,-96.783333
ru,nizhniy baskunchak,48.219776,46.831053000000004
fr,goussainville,49.013672,2.465948
it,cicciano,40.966667,14.533332999999999
gr,khiliomodion,37.8166667,22.8666667
ph,santa cruz,12.8763,124.0566
gr,askos,40.75,23.3833333
bt,wangdiphodrang,27.483333299999998,89.9
ph,lunen,6.359167,124.90472199999999
tz,mikumi,-7.4,36.9833333
ec,valdez,1.2491667,-78.9830556
ph,mianay,11.4716,122.7011
in,nangloi jat,28.683333,77.06666700000001
it,massa,44.016667,10.15
ca,kanata,45.333333,-75.9
us,whitewater,42.833611100000006,-88.73222220000001
ar,san lorenzo,-28.133060999999998,-58.767331000000006
ws,tufulele,-13.8,-171.8833333
uz,kosonsoy,41.256111100000005,71.5508333
it,aragona,37.4,13.616667000000001
az,basqal,40.7552,48.391044
mx,lombardia,19.15,-102.033333
in,nadbai,27.233333000000002,77.2
ph,arenas,15.1704,120.6876
pa,pacora,9.083333300000001,-79.2833333
hu,buk,47.384859999999996,16.750654
ph,san pedro,10.960999999999999,124.8197
ro,turnu magurele,43.75,24.866667
my,mersing,2.4312,103.8405
ro,poiana sibiului,45.8,23.733333
mx,amilpas,16.366667,-94.616667
ru,pervomayskiy,64.4165,40.8122
ng,ise,7.4632,5.4281
gb,coatbridge,55.86666700000001,-4.033333
fr,saint-chamond,45.473646,4.525411
am,hayanist,40.1197222,44.3775
ro,floresti,46.733333,23.483333
ro,darmanesti,47.733333,26.15
hn,potrerillos,15.633333300000002,-88.3
gt,san jeronimo,15.05,-90.2
us,hialeah,25.8572222,-80.2783333
cn,suicheng,33.896298,117.933066
ru,kamenka,60.446391000000006,29.082901
gr,kostalexis,38.85,22.3666667
ch,arth,47.06337,8.523485
my,kerteh,4.5141,103.4483
ro,mozaceni,44.566666999999995,25.166667
hn,arauli,13.95,-86.55
ru,ilinskiy,47.997778000000004,142.20916699999998
fr,chateaurenard,43.882248,4.853279
it,cerignola,41.266667,15.9
us,tavares,28.803888899999997,-81.7258333
hn,corozal,15.8,-86.7166667
ph,san nicolas,15.5841,120.6765
pl,laziska gorne,50.14643,18.839423
br,itinga,-16.6,-41.783333
mz,pemba,-12.960833300000001,40.5077778
id,pemangkat,1.166667,108.96666699999999
ua,vysokyy,49.889198,36.132098
ch,bad ragaz,47.005367,9.501217
am,astghadzor,40.1238889,45.3566667
bg,boljarovo,42.15,26.816666700000003
ru,zhdankovskiy,53.753207999999994,38.179514000000005
us,virginia beach,36.8527778,-75.9783333
si,grosuplje,45.955555600000004,14.658888899999999
fr,le pecq,48.89317,2.103714
br,ipaussu,-23.05,-49.616667
us,woodward,36.4336111,-99.39
ru,irbit,57.670525,63.071000000000005
ru,shuyskoye,59.373557,41.030474
us,huron,44.3633333,-98.21388890000001
de,ratzeburg,53.7,10.766667
cn,angangxi,47.15,123.81
cz,zelezna ruda,49.137768,13.232492
id,ternate,0.8,127.4
ph,quezon,10.436169,123.260401
ph,lalagsan,10.2824,123.01299999999999
za,grabouw,-34.151519,19.015091
be,sint-laureins,51.25,3.516667
pe,tambopata,-12.733333300000002,-69.1833333
gh,duayaw nkwanta,7.1666667,-2.1
de,harsum,52.216667,9.966667
gt,la esperanza,14.866667000000001,-91.56666700000001
br,propria,-10.216667,-36.85
ba,gacko,43.1672222,18.535277800000003
in,sojitra,22.55,72.716667
mx,chocaman,19.016667,-97.016667
th,mae ramat,16.984032,98.516646
ru,medvedka,58.742554000000005,59.103584
pk,bhan,26.558311,67.721386
us,bellefontaine,40.3611111,-83.75972220000001
ro,baluseni,47.666667,26.8
ru,uvat,59.143333,68.895278
ph,glamang,6.162548999999999,125.08391499999999
hu,hercegszanto,45.95,18.939167
us,forest lake,45.2788889,-92.985
br,sao joao,-8.866667,-36.366667
us,jenks,36.0227778,-95.9680556
no,klokkarvik,60.2225,5.155556
ru,almetyevsk,54.904424,52.315397
cn,baoshan,46.558611,131.424444
us,angola,41.6347222,-84.9994444
bg,batanovci,42.5997222,22.9505556
kz,bulaevo,54.905556000000004,70.443889
us,lincolnwood,42.0044444,-87.73
pm,miquelon,47.0975,-56.3813889
ua,pershotravneve,51.392871,28.868373
us,clinton,38.3686111,-93.7780556
us,tonawanda,43.0202778,-78.8805556
us,palm city,27.1675,-80.26638890000001
ro,letcani,47.183333000000005,27.416666999999997
pa,las colinas,8.55,-80.08333329999999
nl,gorinchem,51.82965,4.973111
it,piano di sorrento,40.633333,14.383332999999999
us,chelmsford,42.5997222,-71.3677778
in,bhopal,23.266667,77.4
ro,balta,44.886944,22.636944
gb,kidderminster,52.383333,-2.25
tw,tucheng,24.9833333,121.43333329999999
tr,aksehir,38.3575,31.416389000000002
ph,alibunan,11.146523,122.459106
no,lundamo,63.13333299999999,10.3
ro,rimetea,46.45,23.566667000000002
de,finnentrop,51.166667,7.966667
am,yerevan,40.1811111,44.513611100000006
in,mayang imphal,24.616667,93.883333
hu,felsoszentivan,46.197127,19.186854999999998
in,rasra,25.85,83.85
us,newburg,38.16,-85.6597222
ru,vladivostok,43.128056,131.90111100000001
gr,skhisma,35.2666667,25.716666699999998
co,urrao,6.315197,-76.134201
us,spring,30.079722200000003,-95.4169444
pk,jand,33.429853,72.019285
ph,san jose,8.133611,126.293889
ni,diriamba,11.85,-86.2333333
br,bom jesus,-9.066667,-44.366667
co,tibacuy,4.351111,-72.456389
pf,uturoa,-16.7333333,-151.43333330000002
br,jaguarari,-10.266667,-40.2
no,herre,59.1,9.566667
ph,macayug,16.0896,120.405
jp,nanae,41.883333,140.683333
ec,daule,-1.8666667000000001,-79.9333333
ph,natubleng,16.696474,120.78054099999999
be,overpelt,51.216667,5.4166669999999995
ch,langnau,46.93936,7.787380000000001
us,frankfort,41.4958333,-87.84861109999999
br,santo angelo,-28.3,-54.266667000000005
il,azur,32.019166999999996,34.810556
cz,susice,49.237292,13.523972
ng,afikpo,5.893121,7.937353
ph,gibato,11.2251,122.8143
jp,kawasaki,33.583333,130.833333
ph,punta silum,8.381667,124.269444
co,san juan de arama,3.346389,-73.889444
et,huruta,8.15,39.35
it,cesena,44.143333,12.249722
am,margara,40.0336111,44.173888899999994
cn,hami,42.8,93.45
us,north potomac,39.0827778,-77.26527779999999
my,tangkak,2.2673,102.5453
us,kinnelon,41.0016667,-74.3675
ro,alexandria,43.983333,25.333333
se,timra,62.477778,17.306944
ec,naranjal,-2.6666667,-79.6166667
pk,toba tek singh,30.974326,72.482694
sv,corinto,13.8108333,-87.97138890000001
gf,camopi,3.1666667,-52.35
in,nandurbar,21.366667,74.25
ph,leon,10.780849,122.389404
ru,azovo,54.699716,73.02367199999999
ua,izyum,49.208754,37.248484999999995
ph,labasan,12.777318,121.46921499999999
us,wickliffe,41.605277799999996,-81.45361109999999
pk,gujar khan,33.255786,73.30254599999999
us,northfield,43.4330556,-71.5927778
si,lucija,45.4963889,13.6136111
fr,hericourt,47.573048,6.761392
ro,strehaia,44.616667,23.2
at,melk,48.216667,15.316667
cn,shiyan,32.6475,110.778056
gb,ayr,55.45,-4.616667
dk,hedensted,55.770131000000006,9.696694
jp,kaita,34.366667,132.55
rs,sremcica,44.676944,20.393056
gr,eleusis,38.033333299999995,23.533333300000002
hn,azacualpa,14.7166667,-88.1
de,herford,52.133333,8.683333
ru,orda,57.195085999999996,56.909078
ph,pasacao,13.5118,123.0426
ph,kawit,8.1875,124.066667
us,salmon creek,45.7108333,-122.6477778
ru,zolotukhino,52.084204,36.377765999999994
ne,tillabery,14.211666699999999,1.4530556000000001
co,mongui,5.721507,-72.84908
be,hamme,51.1,4.133333
pl,gdynia,54.5,18.55
in,ichchapuram,19.116667,84.7
mx,tlacotalpan,18.616667,-95.666667
ua,kosmach,48.329906,24.820519
sl,pujehun,7.3505556,-11.7180556
us,alexandria,38.8047222,-77.04722220000001
us,kernersville,36.1197222,-80.07388890000001
ht,saint-raphael,19.4333333,-72.2
gr,exarkhos,38.5833333,22.95
pk,rabwah,31.755833000000003,72.919722
pt,salreu,40.739709000000005,-8.557195
us,bristol,40.10055560000001,-74.8522222
us,cutlerville,42.8408333,-85.6636111
ph,catuday,16.2923,119.8062
tr,erbaa,40.668889,36.5675
ke,kangema,-0.6833333,36.966666700000005
es,calatayud,41.353534,-1.643184
br,goianira,-16.5,-49.433333000000005
mx,ebano,22.216667,-98.4
hu,mindszent,46.523621,20.190381
ba,obudovac,44.965,18.612222199999998
de,norderstedt,53.7,10.016667
gr,akhinos,38.9,22.7333333
in,pardi,20.516667,72.95
ph,quezon,9.241111,118.03138899999999
jp,hekinan,34.883333,136.98333300000002
gh,foso,5.7,-1.2833333
gb,kingussie,57.083332999999996,-4.05
in,koregaon,18.65,74.083333
ph,lantawan,6.6402,121.8395
ro,verbita,44.3,23.166667
ir,aligudarz,33.400633,49.694901
ph,ragay,13.8183,122.7923
ua,matviyivka,47.074725,35.144439
ch,meiringen,46.726776,8.183961
gt,san pedro sacatepequez,14.684167,-90.64416700000001
th,kranuan,16.706722,103.078778
in,jalalabad,29.618610999999998,77.438333
in,digha,21.683332999999998,87.55
hn,san marcos,15.3,-88.41666670000001
lt,druskininkai,54.0166667,23.966666699999998
id,wonogiri,-7.814444,110.920556
it,francofonte,37.233333,14.883332999999999
py,san pedro del parana,-26.833333000000003,-56.2
pk,kahuta,33.591303,73.38676
in,tuni,17.35,82.55
so,eyl,7.9666667,49.8166667
us,johnson city,42.11555560000001,-75.9591667
ro,cotofenii din dos,44.433333000000005,23.616667
ph,palagao,18.043187,121.699051
za,utrecht,-27.658623,30.321659999999998
cu,guanajay,22.9263889,-82.6875
ca,edmonton,53.55,-113.5
us,greenville,40.1027778,-84.63305559999999
lu,sandweiler,49.6133333,6.2188889000000005
in,ulubaria,22.471667,88.11361099999999
bt,jakar,27.55,90.7333333
gb,yetholm,55.55,-2.266667
gb,taunton,51.021111,-3.104722
in,nepa nagar,21.466667,76.4
mx,jamapa,19.033333,-96.233333
in,dongargaon,20.966667,80.85
mk,resen,41.08888889999999,21.012222199999997
hu,villany,45.868889,18.453889
