Country,City,Latitude,Longitude
br,rio das ostras,-22.533333,-41.95
mx,saltabarranca,18.6,-95.533333
br,jacupiranga,-24.700034,-48.004445000000004
au,lara,-38.02388,144.406174
mm,bago,17.3333333,96.4833333
tr,ercis,39.028688,43.358636
bg,kostinbrod,42.8166667,23.216666699999998
in,maisuru,12.307222,76.649722
fr,sainte-luce-sur-loire,47.253807,-1.4842959999999998
in,ellenabad,29.45,74.65
ua,kryvyy rih,47.909659000000005,33.380438
ru,menzelinsk,55.727056000000005,53.102578
ro,daesti,44.966667,24.133333
us,barrington,42.1538889,-88.1361111
in,katwa,23.65,88.133333
ro,costisa,46.75,26.65
ao,kibala,-10.73366,14.979949
in,bansda,20.75,73.366667
ph,nama,16.1412,120.5426
pk,kot addu,30.469196999999998,70.967141
ph,ternate,14.2897,120.7168
br,frei paulo,-10.55,-37.533333
ca,salmo,49.2,-117.28333300000001
ch,kussnacht,47.085571,8.442057
ma,tetouan,35.571090999999996,-5.372424
ru,magadan,59.566667,150.8
ci,beoumi,7.673951,-5.580855000000001
jp,hirado,33.359722,129.553056
gr,sinarades,39.5647222,19.845833300000002
br,matipo,-20.283333,-42.35
us,dennis,41.7352778,-70.1944444
de,beckingen,49.4,6.7
it,barletta,41.316666999999995,16.283333
ru,irsha,55.9273,94.7999
at,hall,47.6,14.45
br,cacapava,-23.1,-45.716667
bg,dimovo,43.7416667,22.726944399999997
in,kalmeshwar,21.233333,78.9
mx,amacuzac,18.583333,-99.35
de,oschersleben,52.033333,11.25
id,ende,-8.8432,121.6623
ph,bantog,16.0091,120.6929
gb,crewe,53.1,-2.433333
ro,frumoasa,43.8,25.466667
us,butte,46.0038889,-112.5338889
be,genappe,50.6,4.45
us,coral terrace,25.7455556,-80.3047222
ba,blagaj,43.2575,17.888611100000002
id,kendari,-3.945,122.49888899999999
in,rampur,28.816667,79.033333
ph,manalad,10.0056,122.7769
in,lakshettipet,18.866667,79.216667
py,mbocayaty,-25.7,-56.4
br,morros,-9.446667,-46.300278000000006
hu,gyulahaza,48.133333,22.116667
ba,trzacka rastela,44.9733333,15.790277800000002
es,arucas,28.115992,-15.518723999999999
ro,brodina,47.883333,25.416667
hn,san francisco,13.180833300000002,-87.0983333
ph,san rafael,14.1284,121.4147
nl,bergschenhoek,51.987249,4.515815
nz,havelock,-41.283333,173.76666699999998
ph,mondragon,12.5157,124.7523
in,bid,18.983333,75.766667
pe,san miguel,-13.0122222,-73.9805556
pk,adilpur,27.936974,69.318685
ca,crystal beach,45.05,-79.4
ug,adjumani,3.3613888999999997,31.8097222
bw,makaleng,-20.9,27.2833333
it,tempio pausania,40.9,9.1
si,crna na koroskem,46.466666700000005,15.85
lu,aspelt,49.5227778,6.2247222
it,grosseto,42.766667,11.133333
us,centennial,39.5791667,-104.8763889
it,capaci,38.166667,13.233332999999998
hn,teupasenti,14.2166667,-86.7
ro,silistea,44.4,28.166666999999997
ph,tabuc,11.4694,122.775
gb,dundee,56.5,-2.9666669999999997
it,campodarsego,45.5,11.9
tj,karakendzha,39.2422222,71.5261111
us,mendota heights,44.8836111,-93.1380556
ht,jeremie,18.6166667,-74.08333329999999
in,sheoganj,25.15,73.06666700000001
fr,septemes-les-vallons,43.400537,5.36979
us,union city,33.58694439999999,-84.5425
ca,cochrane,49.066666999999995,-81.016667
br,gandu,-13.75,-39.5
id,purbalingga,-7.388056,109.36388899999999
co,san andres,6.903333,-75.6825
ph,taytayan,10.8787,123.9771
de,burgthann,49.35,11.3
us,marana,32.4366667,-111.2247222
ro,reghin,46.766667,24.7
ru,yurty,56.0498,97.6348
py,isla pucu,-25.3,-56.9
ro,malu cu flori,45.15,25.2
br,orlandia,-20.716667,-47.883333
ro,dersca,47.983333,26.2
us,gantt,34.8,-82.4244444
us,villas,26.55,-81.8688889
gr,silivainiotika,38.1666667,22.3333333
de,losheim,49.516667,6.75
ru,orlovo,51.753972,39.587312
mx,santiago de cuenda,20.6,-100.983333
in,attingal,8.683333,76.833333
in,sarka ghat,31.7,76.733333
gb,bury,53.6,-2.3
ru,yaya,56.206,86.44
jp,abashiri,44.019721999999994,144.258611
ph,balut,14.683333,120.55
gr,ierissos,40.4,23.8833333
us,picayune,30.525277799999998,-89.67944440000001
dk,skovby,56.153395999999994,9.956951
sz,big bend,-26.816666700000003,31.933333299999997
pt,silveira,39.111197,-9.364298
us,bloomington,39.1652778,-86.52638890000001
ro,corod,45.9,27.616667
mx,ixtapa,20.7,-105.2
ph,villareal,11.5659,124.9281
co,valle del guamuez,0.4525,-76.919167
us,woodbury,44.923888899999994,-92.9591667
us,deerfield,42.171111100000005,-87.8444444
br,araguacu,-12.894167,-49.773056
us,centerville,39.6283333,-84.1594444
it,capoterra,39.174444,8.971111
ru,zhirnov,48.170885999999996,41.126082000000004
it,rionero in vulture,40.916667,15.666667000000002
lb,jubayl,34.1166667,35.65
ru,stroitel,50.785427,36.483098999999996
ph,halapitan,7.9175,125.33
mx,zaachila,16.916667,-96.766667
es,rota,36.622363,-6.358589
am,shenavan,40.05,43.9333333
ua,vasylivka,47.436944,35.274167
ru,verkhniy baskunchak,48.225639,46.721695000000004
de,ottobrunn,48.066666999999995,11.683333
br,matias olimpio,-3.7166669999999997,-42.55
mx,yachihuacaltepec,19.324167000000003,-99.67944399999999
ru,tula,54.202132999999996,37.644294
gh,nsawam,5.8,-0.35
ph,malbug,12.0563,123.6461
pk,gwadar,25.12163,62.325410999999995
no,heias,59.7,11.3
hn,zopilotepe,14.6,-86.2666667
br,boquim,-11.15,-37.616667
am,solak,40.4636111,44.708611100000006
rs,vrcin,44.668611,20.594167000000002
it,montalto uffugo,39.4,16.15
de,borna,51.116667,12.5
co,barbosa,5.931675,-73.615065
ru,yashkino,55.8736,85.4265
in,arcot,12.9,79.333333
ro,periam,46.05,20.866667
mt,zabbar,35.876111,14.535
bf,gayeri,12.6497222,0.4930556
mx,altepexi,18.35,-97.31666700000001
ru,buy,58.48066800000001,41.536992
ru,vakhrushev,48.983333,142.966667
ph,palimbang,6.2105559999999995,124.189444
br,jaguariuna,-22.683332999999998,-46.983333
cn,jiayuguan,39.816666999999995,98.3
ph,mailag,7.9702779999999995,125.1375
jo,samma,32.571027,35.690251
es,santa lucia,27.911307,-15.543416
au,benalla,-36.551128000000006,145.984253
mg,ambatondrazaka,-17.8333333,48.4166667
in,kodungallur,10.222222,76.199167
za,piet retief,-27.007063,30.813231
it,guastalla,44.916667,10.65
cz,hodkovice nad mohelkou,50.665805,15.090202
hu,zomba,46.410838,18.565767
td,kyabe,9.45,18.95
bo,guayaramerin,-10.8,-65.3833333
ro,arieseni,46.483333,22.766667
cn,shaping,22.477547,112.84578400000001
de,papenburg,53.066667,7.4
zm,kalabo,-14.9666667,22.6833333
us,gurnee,42.3702778,-87.9019444
ru,novopodrezkovo,55.939721999999996,37.344167
ro,tureni,46.616667,23.7
cz,pribor,49.640482,18.150476
pk,kharan,28.583333000000003,65.416667
ru,russko-vysotskoye,59.699633999999996,29.944035999999997
mx,bacum,27.55,-110.08333300000001
pt,carvalhosa,41.30057,-8.360803
cn,taonan,45.333333,122.78333300000001
ph,bacolod,8.931667,126.28944399999999
ro,castelu,44.25,28.333333000000003
ro,vadeni,45.366667,27.933333
pl,nysa,50.47226,17.33618
id,payakumbuh,-0.22019,100.630781
cn,anshun,26.25,105.933333
lv,plavinas,56.6166667,25.716666699999998
jp,kawaguchi,35.805,139.72055600000002
ro,berevoesti,45.233333,24.916667
gr,patris,40.561111100000005,22.1861111
de,loningen,52.733332999999995,7.766667
br,soure,-0.733333,-48.516667
de,grunberg,50.6,8.95
ro,breaza,46.766667,24.633333
pt,aljustrel,37.877594,-8.165159
fr,marmande,44.500371,0.16546
gh,wa,10.05,-2.4833333
in,kheda,22.75,72.68333299999999
mx,atitalaquia,20.066667000000002,-99.216667
ie,ballinrobe,53.6333333,-9.233333300000002
mx,asientos,22.233333,-102.1
de,roding,49.196389,12.518611
ro,jupanesti,44.9,23.533333
co,la merced,5.086666999999999,-75.8925
ph,luna,16.3311,119.8939
ru,chebarkul,54.9749,60.3633
ru,ladushkin,54.570254000000006,20.170989000000002
hn,berlin,14.833333300000001,-88.5
jp,kuroiso,36.966667,140.05
ca,provost,52.35,-110.266667
it,trani,41.283333,16.416667
in,palia kalan,28.45,80.583333
fr,cormeilles-en-parisis,48.971112,2.2049119999999998
gr,tragana,38.6166667,23.1166667
it,verona,45.45,11.0
gr,moria,39.1333333,26.516666700000002
bw,letlhakane,-21.4166667,25.5833333
us,milford,42.1397222,-71.5166667
mx,el colomo,19.05,-104.25
ro,astileu,47.033333,22.383333
dk,hjortshoj,56.24811,10.265325
in,ratanpur,22.3,82.166667
no,bud,62.916667000000004,6.9166669999999995
us,wolcott,41.6022222,-72.9872222
th,suwannaphum,15.60348,103.80206700000001
in,rudarpur,26.439444,83.61444399999999
ru,ayan,56.45,138.166667
gb,ilfracombe,51.216667,-4.116667
ru,khristoforovo,60.898931000000005,47.253413
